prname,page2,price,authnumber,sizeInch,color_material,accessories,outside_condition,inside_condition,other,smell,product_nr
GUCCI Logos Hand Bag Black,/collections/gucci/products/ao24956,"69,800",00724400286,"W 5.9 x H 5.1 x D 3.1 ""

Handle Drop. 4.3 ""","Black, Gold
/
Satin",-,AO24956,"Good condition

Corner: scuff",Good condition,-,AO24956
GUCCI GG Pattern Shelly Line 2way Travel Hand Bag Brown Vinyl,/collections/gucci/products/ao24657,"89,800",374770 002123,"W 19.7 x H 13.8 x D 8.7 ""

Handle Drop. 8.3 ""

Strap Drop. 22.0 - 23.6 ""","Brown, Red, Green
/
Vinyl, Leather","Shoulder Strap, Spare Cloth",AO24657,Excellent condition,Excellent condition,-,AO24657
GUCCI Logos Backpack Hand Bag Black Nylon,/collections/gucci/products/ao24445,"39,800",003.0242 002058,"W 8.7 x H 9.4 x D 2.8 ""

Handle Drop. 3.1 ""

Strap total length. 27.6 - 31.5 ""","Black
/
Nylon, Leather",Dust Bag,AO24445,"Good condition

Leather part: scratches",Good condition,-,AO24445
GUCCI Lady Lock 2way Hand Bag Brown,/collections/gucci/products/ao24029,"108,000",000.2110.0211,"W 7.9 x H 6.7 x D 3.1 ""

Handle Drop. 3.1 ""

Strap Drop. 20.5 ""","Brown
/
Leather","Cover of Key, Keys*2, Manual, Shoulder Strap",AO24029,Good condition,"Good condition

Number tag: peeled",-,AO24029
GUCCI GG Pattern Cosmetic Vanity Hand Bag Pouch Black,/collections/gucci/products/ao24028,"36,800",039.1051 2684,"W 6.1 x H 4.7 x D 3.1 ""

Handle Drop. 2.4 ""","Black
/
Canvas, Leather",-,AO24028,Good condition,Good condition,-,AO24028
GUCCI Intrecciato Beads Chain Shoulder Bag Black Satin Velvet,/collections/gucci/products/ao23956,"59,800",005/103/3582,"W 7.9 x H 5.3 x D 1.4 ""

Strap Drop. 17.7 ""","Black
/
Satin, Beads, Velvet",-,AO23956,"There is sign of use overall.

Beads: missing.

Chain strap: minor rust",Good condition,-,AO23956
GUCCI Shelly Line Old Gucci Hand Bag Black,/collections/gucci/products/ao23500,"59,800",-,"W 8.7 x H 6.5 x D 3.1 ""

Handle Drop. 4.7 ""","Black, Red, Green/ Leather","Bi-fold wallet, Dust Bag","There is sign of use overall

Scratches, Mold stains","There is sign of use overall

Metal fittings: Rust/ Zipper has stiff.

Mold stains","There is sign of use overall

Mold stains",-,AO23500
GUCCI GG Pattern Shoulder Bag Pochette Black,/collections/gucci/products/ao23451,"39,800",106693.0416,"W 4.3 x H 5.1 x D 1.2 ""

Strap Drop. 21.7 ""","Black/ Canvas, Leather",Box,"Good Condition

Canvas: scuff

Leather part: scratches","Good Condition

Scratches",-,-,AO23451
GUCCI Horsebit Vanity Hand Bag Red,/collections/gucci/products/ao23331,"49,800",032.1705.0141,"W 6.7 x H 3.1 x D 4.3 ""

Handle Drop. 2.0 """,Red/ Leather,"Manual, Box",Good Condition,Good Condition,-,-,AO23331
GUCCI Bamboo Line Backpack Hand Bag Brown,/collections/gucci/products/ao23221,"49,800",003.2852.0030.0,"W 8.3 x H 9.4 x D 3.0 ""

Handle Drop. 2.4 ""

Strap total length. 22.8 - 28.7 """,Brown/ Leather,-,"There is sign of use overall

Scratches

Handle roots: Minor torn",Good Condition,-,-,AO23221
GUCCI Logos Shoulder Bag Black Embossed Leather,/collections/gucci/products/ao22999,"69,800",56,"W 9.1 x H 8.3 x D 2.8 ""

Strap Drop. 7.9 or 16.9 """,Black/ Embossed Leather,"Manual, Dust Bag","There is sign of use overall

Scratches

Strap: Crack","There is sign of use overall

Scratches",-,-,AO22999
GUCCI RIGATE Shelly Line GG Pattern Boston Hand Bag Brown,/collections/gucci/products/ao22823,"69,800",092.615.6838,"W 10.6 x H 7.1 x D 5.5 ""

Handle Drop. 3.9 ""","Brown, Red, Green/ PVC, Leather",-,Good Condition,Good Condition,-,Strong smell of cigarettes,AO22823
GUCCI Bamboo Line 2way Hand Bag Black Lizard Skin,/collections/gucci/products/ao22737,"198,000",000.01.0633,"W 10.6 x H 6.9 x D 4.3 ""

Handle Drop. 4.7 ""

Strap Drop. 18.9 """,Black/ Lizard Skin,"Shoulder Strap, Bill Holder, Mirror, Mirror Case",Good Condition,"Good Condition

Scratches",-,-,AO22737
GUCCI Bamboo Line 2way Hand Bag Red,/collections/gucci/products/ao22736,"168,000",000.2029.0633,"W 10.2 x H 7.1 x D 4.3 ""

Handle Drop. 5.1 ""

Strap Drop. 18.9 """,Red/ Leather,"Shoulder Strap, Manual",Excellent Condition,Excellent Condition,-,-,AO22736
GUCCI Lady Lock 2way Hand Bag Brown,/collections/gucci/products/ao22359,"98,000",000 46 0210,"W 8.7 x H 5.9 x D 3.1 ""

Handle Drop. 3.5 ""

Strap Drop. 21.3 """,Brown/ Leather,"Shoulder Strap, Cover of Key, Keys*2, Dust Bag","Good Condition

Scratches","Good Condition

Scratches",-,-,AO22359
GUCCI Hand Bag Green Wool,/collections/gucci/products/ao22315,"59,800",000 0838 002046,"W 8.7 x H 5.9 x D 3.1 ""

Handle Drop. 3.5 ""","Green, Black/ Wool, Leather",Manual,Good Condition,"Good Condition

Scratches",-,-,AO22315
GUCCI Bamboo Line 2way Hand Bag Black,/collections/gucci/products/ao22050,"148,000",000-2113-0633,"W 10.2 x H 7.1 x D 4.3 ""

Handle Drop. 5.1 ""

Strap Drop. 18.9 """,Black/ Leather,"Manual, Shoulder Strap, Mirror, Mirror Cover, Dust Bag",Good Condition,Good Condition,-,-,AO22050
GUCCI Lady Lock 2way Hand Bag Brown,/collections/gucci/products/ao21395,"348,000",000.926.0258.432,"W 9.4 x H 8.3 x D 3.5 ""

Handle Drop. 3.5 ""

Strap Drop. 19.3 """,Brown/ Crocodile Skin,"Manual, Shoulder Strap, Cover of Key, Keys*2, Dust Bag",Good Condition,"Good Condition

Scratches",-,-,AO21395
GUCCI Bamboo Line Backpack Hand Bag Navy,/collections/gucci/products/ao21345,"59,800",003.1705.0030,"W 8.3 x H 9.4 x D 3.0 ""

Handle Drop. 2.4 ""

Strap total length. 23.6 - 29.5 """,Navy/ Leather,-,"Good Condition

Scratches",Good Condition,-,,AO21345
GUCCI Bamboo Line Backpack Black Python,/collections/gucci/products/ao21217,"98,000",003.2058.0030,"W 8.3 x H 9.4 x D 3.0 ""

Handle Drop. 2.4 ""

Strap total length. 22.8 - 28.7 ""","Black, Beige, etc./ Python Leather, Suede",Dust Bag,There is sign of use overall,Good Condition,-,,AO21217
GUCCI Bamboo Line 2way Mini Hand Bag Purple,/collections/gucci/products/ao21141,"148,000",005 109 0258,"W 6.7 x H 5.1 x D 2.0 ""

Handle Drop. 2.8 ""

Shoulder Drop. 24.0 """,Purple/ Satin,"Shoulder Strap, Dust Bag, Box",Excellent Condition,Excellent Condition,-,-,AO21141
GUCCI Bamboo Line Hand Bag Black Ostrich,/collections/gucci/products/ao20930,"148,000",-,"W 10.6 x H 6.9 x D 3.0 "" 

Handle Drop. 4.7 "" ","Brown, Black/ Ostrich Skin",-,Good Condition,Good Condition,-,,AO20930
GUCCI Horsebit Rhinestone Backpack Bag Black,/collections/gucci/products/ao20802,"128,000",005 781 0316,"W 5.9 x H 6.3 x D 2.8 ""

Strap total length. 27.6 """,Black/ Satin,"Bill wallet, Dust Bag",Excellent condition,Excellent condition,-,,AO20802
GUCCI Logos Cross Body Shoulder Bag Navy,/collections/gucci/products/ao20752,"49,800",001.33.1001,"W 7.9 x H 6.7 x D 3.5 "" 

Strap Drop. 21.7 - 23.2 """,Navy/ Leather,-,"Good Condition

Dirt",Good Condition,-,,AO20752
GUCCI Cross Body Shoulder Bum Bag Purse Brown,/collections/gucci/products/ao20524,"69,800",Unclear due to deterioration.,"W 5.9 x H 4.7 x D 1.2 ""

Shoulder Drop. 24.4 - 26.0 ""","Brown
/
Leather",Dust Bag,AO20524,There is sign of use overall.,Good condition,-,AO20524
GUCCI Bamboo Line Hand Bag Purse Bronze,/collections/gucci/products/ao20461,"39,800",001.1118.1888,"W 7.9 x H 8.3 x D 3.1 ""

Handle Drop. 3.1 ""","Bronze
/
Leather",-,AO20461,"There is sign of use overall.

Peeled and minor crack",Good condition,-,AO20461
GUCCI Rhinestone Chain Shoulder Bag Black,/collections/gucci/products/ao20402,"89,800",251821 002123,"W 6.7 x H 5.5 x D 2.0 ""

Strap Drop. 24.4 ""","Black
/
Satin, Leather",-,AO20402,Excellent condition,Good condition,-,AO20402
GUCCI Flora Line Shoulder Bag Red,/collections/gucci/products/ao20342,"98,000",M00.BREV.N.4976B/82,"W 9.1 x H 7.9 x D 2.8 ""

Strap Drop. 20.9 ""","Red, White, etc./ Canvas, Plastic, Leather","Dust Bag, Box",Good condition,Good condition,-,-,AO20342
GUCCI Logos 2way Hand Bag Black,/collections/gucci/products/ao20341,"108,000",007.29.0078,"W 19.0 x H 14.0 x D 6.0 cm

Handle Drop. 3.0 cm

Strap Drop. 54.0 cm",Black/ Leather,"Shoulder Strap, Box",Good condition,Good condition,-,-,AO20341
GUCCI Bamboo Line Backpack Hand Bag Black,/collections/gucci/products/ao20088,"69,800",003.1705.0030,"W 8.3 x H 9.4 x D 3.0 ""

Handle Drop. 2.4 ""

Strap total length. 22.8 - 28.7 """,Black/ Leather,Manual,There is sign of use overall,Good condition,-,-,AO20088
GUCCI Bamboo Line Lady Lock Hand Bag Brown,/collections/gucci/products/ao19831,"98,000",000.406.0190,"W 11.0 x H 8.7 x D 4.3 ""

Handle Drop. 3.9 """,Brown/ Leather,"Manual, Cover of Key, Key*1",Good condition,Good conditiont,-,-,AO19831
GUCCI Shelly Line GG Pattern Hand Tote Bag Brown,/collections/gucci/products/ao19799,"79,800",189669 506631,"W 13.0 x H 14.2 x D 3.9 ""

Handle Drop. 7.5 ""","Brown, Red, Green/ Canvas, Leather",-,Excellent condition,Excellent condition,-,-,AO19799
GUCCI Bamboo Line Backpack Bag Black,/collections/gucci/products/ao19592,"69,800",003.1705.0030,"W 8.3 x H 9.4 x D 3.0 ""

Handle Drop. 2.4 ""

Strap total length. 23.6 - 29.5 ""","Black/ Suede, Leather","Dust Bag, Manual",There is sign of use overall,Good condition,-,-,AO19592
GUCCI Bamboo Line 2way Hand Bag Brown,/collections/gucci/products/ao19591,"248,000",000 2046 0188,"W 8.7 x H 5.9 x D 2.8 ""

Handle Drop. 4.3 ""

Strap Drop. 21.7 """,Brown/ Ostrich Leather,"Dust Bag, Shoulder Strap, Mirror",Excellent condition,Good condition,-,-,AO19591
GUCCI 2way Hand Bag Black,/collections/gucci/products/ao19555,"108,000",-,"W 7.5 x H 5.9 x D 2.0 ""

Handle Drop. 2.0 ""

Strap Drop. 25.6 """,Black/ Leather,Shoulder Strap,Good condition,There is sign of use overall,-,-,AO19555
GUCCI Horsebit Vanity Hand Bag Black,/collections/gucci/products/ao19440,"49,800",032.1705.0140,"W 8.7 x H 4.3 x D 5.5 ""

Handle Drop. 3.5 """,Black/ Leather,-,Good condition,Good condition,-,-,AO19440
GUCCI Lady Lock 2way Hand Bag Brown,/collections/gucci/products/ao19218,"168,000",403.000.26.0258,"W 9.4 x H 8.5 x D 3.7 ""

Handle Drop. 3.9 ""

Strap Drop. 18.9 """,Brown/ Ostrich Leather,"Shoulder Strap, Cover of Key, Keys*2","There is sign of use overall

Suntanned",There is sign of use overall,-,-,AO19218
GUCCI Bamboo Line Backpack Hand Bag Black,/collections/gucci/products/ao19185,"69,800",003.2058.0016,"W 12.0 x H 12.2 x D 3.9 ""

Handle Drop. 2.0 ""

Strap total length. 24.4 - 29.1 ""","Black
/
Suede, Leather",-,AO19185,There is sign of use overall.,There is sign of use overall.,-,AO19185
GUCCI Horsebit Cosmetic Vanity Hand Bag Black,/collections/gucci/products/ao19121,"39,800",032.1705.0140,"W 8.7 x H 4.3 x D 5.5 ""

Handle Drop. 3.5 """,Black/ Leather,"Shoulder Strap, Manual, Mirror, Dust Bag",Good condition,Good condition,-,-,AO19121
GUCCI Bamboo Line 2way Hand Bag Navy,/collections/gucci/products/ao19120,"148,000",000.1448.0633,"W 10.2 x H 7.5 x D 4.3 ""

Handle Drop. 4.7 ""

Strap Drop. 18.5 """,Navy/ Leather,"Shoulder Strap, Manual, Mirror, Dust Bag","Good condition

Scratches",Good condition,-,-,AO19120
GUCCI Bamboo Line 2way Hand Bag Brown,/collections/gucci/products/ao19119,"298,000",000.1364.0633,"W 10.2 x H 7.5 x D 4.3 ""

Handle Drop. 4.7 ""

Strap Drop. 18.5 """,Brown/ Ostrich Skin,"Shoulder Strap, Manua, Mirror, Dust Bag, Box",Excellent condition,Excellent condition,-,-,AO19119
GUCCI Bamboo Line Backpack Hand Bag Black,/collections/gucci/products/ao18900,"59,800",003.1998.0030,"W 8.3 x H 9.4 x D 3.0 ""

Handle Drop. 2.4 ""

Strap total length. 23.6 - 29.5 ""","Black
/
Patent Leather, Leather",-,AO18900,There is sign of use overall.,Good condition,-,AO18900
GUCCI Bamboo Backpack Hand Bag Brown Ostrich,/collections/gucci/products/ao18344,"148,000",003.58.0016,"W 12.2 x H 12.6 x D 3.9 ""

Handle Drop. 2.4 ""

Strap. 24.8 - 29.5 ""","Brown
/
Ostrich Skin","Manual, Dust Bag",Good condition,"There is sign of use overall.

There is dirt.",-,-,AO18344
GUCCI Lady Lock 2way Hand Bag Black,/collections/gucci/products/ao18246,"128,000",000.2026.0258,"W 9.4 x H 8.1 x D 3.9 ""

Handle Drop. 3.9 ""

Strap Drop. 19.3 ""","Black
/
Leather","Shoulder Strap, Cover of Key, Keys*2, Manual, Mirror, Mirror Case","There is minor sign of used overall.

There is scratches.",There is sign of use overall.,-,-,AO18246
GUCCI Bamboo Line Backpack Hand Bag Red,/collections/gucci/products/ao18245,"128,000",003.1705.0030,"W 8.3 x H 9.4 x D 3.0 ""

Handle Drop. 2.4 ""

Strap total length. 23.6 - 29.5 ""","Red
/
Leather",Manual,Excellent condition,Excellent condition,-,-,AO18245
GUCCI GG Shelly Line Mini Clutch Hand Bag Pouch Brown,/collections/gucci/products/ao17979,"32,800",-,"W 7.5 x H 5.1 x D 0.2 ""","Brown, Red, Green
/
PVC, Leather",-,Good condition,Good condition,-,-,AO17979
GUCCI Lady Lock 2way Business Hand Bag Brown,/collections/gucci/products/ao17769,"108,000",015.904.331,"W 15.6 x H 12.2 x D 3.3 ""

Handle Drop. 1.2 ""

Strap Drop. 15.7 ""","Brown
/
Leather","Shoulder Strap, Manual, Dust Bag, Cover of Keys, Keys*2",There is minor sign of use overall.,There is sign of use overall.,-,-,AO17769
GUCCI Bamboo Line Backpack Hand Bag Black,/collections/gucci/products/ao17768,"69,800",Unclear due to deterioration.,"W 8.3 x H 9.8 x D 3.0 ""

Handle Drop. 2.4 ""

Strap total length. 25.6 - 29.5 ""","Black
/
Leather",-,Good condition,Good condition,-,-,AO17768
GUCCI Bamboo Line 2way Hand Bag Black,/collections/gucci/products/ao17767,"248,000",000.01.0188,"W 8.7 x H 6.7 x D 3.1 ""

Handle Drop. 4.3 ""

Strap Drop. 21.7 ""","Black
/
Ostrich Skin","Shoulder Strap, Dust Bag",There is minor sign of use overall.,There is sign of use overall.,-,-,AO17767
GUCCI Shelly Line GG Travel Hand Bag Brown,/collections/gucci/products/ao17765,"69,800",010/525/1744,"W 21.3 x H 13.8 x D 6.3 ""

Handle Drop. 5.9 ""","Brown, Red, Green
/
PVC, Leather","Padlock, Cover of Padlock, Keys*2, Name Tag",There is sign of use overall.,There is sign of use overall.,-,-,AO17765
GUCCI GG Shelly Line Waist Bum Bag Pouch Brown,/collections/gucci/products/ao17599,"79,800",162962 497717,"W 9.3 x H 5.1 x D 0.8 ""

Belt Size. 31.5 - 45.7 ""","Brown, Red, Green
/
Canvas, Leather",Dust Bag,Excellent condition,Excellent condition,-,-,AO17599
GUCCI GG Pattern Cross Body Shoulder Bag Brown,/collections/gucci/products/ao17597,"59,800",374416 527066,"W 7.9 x H 7.9 x D 1.6 ""

Strap Drop. 13.4 - 26.4 ""","Brown
/
Vinyl, Leather",-,Excellent condition,Excellent condition,-,-,AO17597
GUCCI GG Pattern Cross Body Shoulder Bag Black,/collections/gucci/products/ao17032,"49,800",90666 1669,"W 5.5 x H 4.3 x D 1.4 ""

Strap Drop. 14.2 - 25.6 ""","Black
/
Canvas, Leather",-,There is sign of use overall.,There is sign of use overall.,-,-,AO17032
GUCCI Shelly Line GG Bum Bag Waist Pouch Brown,/collections/gucci/products/ao16801,"69,800",28566 200047,"W 11.4 x H 6.3 x D 0.8 ""

Belt Size. 33.5 - 47.2 ""","Brown, Red, Green
/
Canvas, Leather",-,Excellent condition,Excellent condition,-,-,AO16801
GUCCI GG Bum Bag Waist Pouch Black,/collections/gucci/products/ao16799,"69,800",162962 486539,"W 9.1 x H 5.1 x D 0.8 ""

Belt Size. 33.5 - 47.2 ""","Black
/
Canvas, Leather",-,There is minor sign of use overall.,Excellent condition,-,-,AO16799
GUCCI Bamboo Line Cross Body Shoulder Bag Brown,/collections/gucci/products/ao16707,"89,800",004-46-0474,"W 8.3 x H 6.3 x D 2.2 ""

Strap Drop. 21.7 ""","Brown
/
Leather",-,There is minor sign of used overall.,There is sign of use overall.,-,Smell of mold.,AO16707
GUCCI Shelly Line Clutch Pouch Bag Dark Brown,/collections/gucci/products/ao16702,"39,800",-,"W 8.7 x H 5.9 x D 1.2 ""","Dark Brown, Red, Green
/
Suede, Leather",-,There is sign of use overall.,There is sign of use overall.,-,-,AO16702
GUCCI Bamboo Line Backpack Hand Bag Yellow,/collections/gucci/products/ao16470,"49,800",003.1705.0030,"W 8.3 x H 9.4 x D 3.0 ""

Handle Drop. 2.4 ""

Strap total length. 23.6 - 29.5 ""","Yellow
/
Suede, Leather",Manual,There is sign of use overall.,There is minor sign of used overall.,-,-,AO16470
GUCCI Lady Lock 2way Hand Bag Navy,/collections/gucci/products/ao16206,"148,000",000 46 0210,"W 8.7 x H 5.7 x D 3.5 ""

Handle Drop. 3.5 ""

Strap Drop. 20.9 ""","Navy
/
Leather","Cover of Key, Keys*2, Manual",There is minor sign of used overall.,There is minor sign of used overall.,-,-,AO16206
GUCCI Bamboo Line Backpack Hand Bag Black,/collections/gucci/products/ao16203,"79,800",003.1705.0030,"W 8.3 x H 9.4 x D 3.0 ""

Handle Drop. 2.4 ""

Strap total length. 23.6 - 29.5 ""","Black
/
Leather",-,"There is sign of use overall.

Handle roots: minor peeled and frayed.",There is sign of used overall.,-,-,AO16203
GUCCI Bamboo Line Backpack Hand Bag Black,/collections/gucci/products/ao16202,"98,000",003.2058.0016,"W 12.0 x H 12.2 x D 3.9 ""

Handle Drop. 2.8 ""

Strap total length. 27.2 - 30.3 ""","Black
/
Leather",Dust Bag,"There is sign of used overall.

Pocket: scuff and minor peeled.(Flap)",There is sign of used overall.,-,-,AO16202
GUCCI GG Shelly Line Clutch Bag Pouch Brown,/collections/gucci/products/ao16199,"36,800",89.01.012,"W 8.7 x H 5.9 x D 2.8 ""","Brown, Red, Green
/
PVC, Leather",-,There is sign of use overall.,"There is sign of use overall.

There is scuff, eeled and minor blow powder.",-,-,AO16199
GUCCI GG Pattern Waist Bum Bag Brown,/collections/gucci/products/ao16198,"69,800",28566 203887,"W 11.4 x H 6.3 x D 0.8 ""

Belt Size. 32.3 - 45.7 ""","Brown
/
Canvas, Leather",Dust Bag,There is minor sign of use overall.,There is minor sign of use overall.,-,-,AO16198
GUCCI Horsebit Cosmetic Vanity Hand Bag Bordeaux,/collections/gucci/products/ao15936,"49,800",032.1705.0141,"W 6.7 x H 3.3 x D 4.3 ""

Handle Drop. 3.5 ""","Bordeaux
/
Leather",Box,"There is sign of used overall.

Around the strap side has minor melted.","There is sign of used overall.

There is scuff, dirt and minor peeled.",-,-,AO15936
GUCCI Bamboo Line 2way Mini Hand Bag Red,/collections/gucci/products/ao15934,"148,000",005 109 0258,"W 6.7 x H 5.1 x D 2.0 ""

Handle Drop. 2.8 ""

Shoulder Drop. 24.0 ""","Red
/
Satin","Shoulder Strap, Dust Bag, Box",There is minor sign of used overall.,There is minor sign of used overall.,-,-,AO15934
GUCCI Bamboo Line Hand Bag Black,/collections/gucci/products/ao15933,"79,800",-,"W 10.4 x H 8.1 x D 3.9 ""

Handle Drop. 3.9 ""","Black
/
Leather",-,There is minor sign of used overall.,There is minor sign of used overall.,-,-,AO15933
GUCCI GG Cross Body Shoulder Bag Black,/collections/gucci/products/ao15860,"69,800",374416 527066,"W 8.3 x H 7.9 x D 1.2 ""

Strap Drop. 13.8 - 27.2 ""","Black
/
Satin, Leather","Manual, Patch-cloth, Dust Bag",Good condition,Good condition,-,-,AO15860
GUCCI Lady Lock Cosmetic Vanity Hand Bag Black,/collections/gucci/products/ao15800,"128,000",000.109.0167,"W 9.4 x H 5.9 x D 4.3 ""

Handle Drop. 5.1 ""","Black
/
Leather","Cover of Key(Strap: peeled.), Keys*2, Dust Bag",There is sign of use overall.,"There is sign of use overall.

Tag: peeled.

Zipper pocket: stain.",-,-,AO15800
GUCCI Cross Body Shoulder Bag Dark Blue,/collections/gucci/products/ao15799,"198,000",007.261.0101 434,"W 7.1 x H 7.1 x D 2.8 ""

Strap Drop. 20.5 - 21.7 ""","Dark Blue
/
Crocodile Leather, Leather","Dust Bag, Box",There is minor sign of used overall.,There is sign of use overall.,-,-,AO15799
GUCCI Bamboo Line 2way Hand Bag Red,/collections/gucci/products/ao15606,"49,800",000.1046.0290,"W 10.2 x H 7.9 x D 3.5 ""

Handle Drop. 3.1 ""

Strap Drop. 19.7 ""","Red
/
Suede, Leather","Manual, Shoulder Strap","There is sign of use overall.

Suede: scratches and dirt.",There is minor sign of use overall.,-,-,AO15606
GUCCI Logos 2way Hand Bag Black,/collections/gucci/products/ao15605,"89,800",000 0838 002046,"W 8.7 x H 6.3 x D 3.5 ""

Handle Drop. 3.9 ""

Strap Drop. 15.0 ""","Black
/
Felt, Leather",Shoulder Strap,There is minor sign of use overall.,There is minor sign of use overall.,-,-,AO15605
GUCCI Lady Lock 2way Hand Bag Black,/collections/gucci/products/ao15412,"148,000",000.1274.0192,"W 11.2 x H 9.8 x D 4.5 ""

Handle Drop. 3.5 ""

Strap Drop. 17.7 ""","Black
/
Leather","Shoulder Strap, Cover of Key, Keys*2, Manual, Mirror, Dust Bag, Box",Good condition,There is minor sign of used overall.,-,-,AO15412
GUCCI Bamboo Line Backpack Hand Bag Red,/collections/gucci/products/ao15272,"69,800",003.1705.0030,"W 8.3 x H 9.4 x D 3.0 ""

Handle Drop. 2.4 ""

Strap total length. 22.8 - 28.7 ""","Red
/
Leather",Dust Bag,There is sign of use overall.,There is sign of use overall.,-,-,AO15272
GUCCI Bamboo Line 2way Hand Bag Red,/collections/gucci/products/ao15269,"198,000",000-2113-0188,"W 8.7 x H 5.9 x D 3.5 ""

Handle Drop. 4.7 ""

Strap Drop. 21.3 ""","Red
/
Leather","Manual, Shoulder Strap, Dust Bag, Mirror, Box",There is minor sign of use overall.,There is minor sign of use overall.,-,-,AO15269
GUCCI GG Pattern Shelly Line Shoulder Tote Bag Brown,/collections/gucci/products/ao14803,"59,800",40.02.003,"W 12.2 x H 14.2 x D 3.9 "" 
Strap Drop. 10.2 ""","Brown, Green, Red
 / PVC, Leather",-,"There is sign of used overall.

Corners has minor crack, peeled and scuff.",There is sign of used overall.,-,-,AO14803
