productname,brand,price,pagelink,condition,conditiondetails,exteriorcolor,exteriormaterial,hardware,accessories,brandcode,measurements,itemnr,claircode
"Birkin Handbag Noir Evergrain with Palladium Hardware 35 Item Number: 47749/18"",
        ""image"": ""https://cdn.shopify.com/s/files/1/0384/0161/products/47749-18_20Hermes_20Birkin_20Handbag_20Black_20Evergrain_20wit_2D_0002_grande.jpg?v=1575952695"",
        
            ""offers"": {
                ""@type"" : ""Offer"",
                ""priceCurrency"": ""USD"",
                ""price"": ""7070"",
                ""itemCondition"" : ""http://schema.org/UsedCondition"",
                ""availability"" : ""http://schema.org/InStock"",
                ""url"" : ""https://shop.rebag.com/products/handbags-hermes-birkin-handbag-black-evergrain-with-palladium-hardware-354774918?variant=30703208792134""
            }}
</script>
",Hermes,"
            $7,070
        ",/collections/hermes/products/handbags-hermes-birkin-handbag-black-evergrain-with-palladium-hardware-354774918,Very good,". Creasing near base, moderate wear and scuffs on exterior, slight cracking on handle wax edges, indentations and scuffs in interior, scratches on hardware.",,,,"Keys, Lock, Clochette",,"Handle Drop 4&quot;, Height 10&quot;, Width 14&quot;, Depth 7&quot;",47749/18,
"Birkin Handbag Noir Togo with Gold Hardware 35 Item Number: 46532/8"",
        ""image"": ""https://cdn.shopify.com/s/files/1/0384/0161/products/46532-8_20Hermes_20Birkin_20Handbag_20Black_20Togo_20with_20Gold_2D_0002_grande.jpg?v=1575952636"",
        
            ""offers"": {
                ""@type"" : ""Offer"",
                ""priceCurrency"": ""USD"",
                ""price"": ""7460"",
                ""itemCondition"" : ""http://schema.org/UsedCondition"",
                ""availability"" : ""http://schema.org/InStock"",
                ""url"" : ""https://shop.rebag.com/products/handbags-hermes-birkin-handbag-black-togo-with-gold-hardware-35465328?variant=30326927458374""
            }}
</script>
",Hermes,"
            $7,460
        ",/collections/hermes/products/handbags-hermes-birkin-handbag-black-togo-with-gold-hardware-35465328,Good,". Loss of shape on exterior, wear on base corners, scuffs and creasing in interior, scratches on hardware.",,,,"Keys, Lock, Rain Coat, Dust Bag, Clochette",,"Handle Drop 4&quot;, Height 10&quot;, Width 13.5&quot;, Depth 7.5&quot;",46532/8,
"Azap Combined Wallet Alligator GM Item Number: 47913/41"",
        ""image"": ""https://cdn.shopify.com/s/files/1/0384/0161/products/47913-41_20Hermes_20Azap_20Combined_20Wallet_20Alligator_20GM_2D_0002_grande.jpg?v=1575952763"",
        
            ""offers"": {
                ""@type"" : ""Offer"",
                ""priceCurrency"": ""USD"",
                ""price"": ""3315"",
                ""itemCondition"" : ""http://schema.org/UsedCondition"",
                ""availability"" : ""http://schema.org/InStock"",
                ""url"" : ""https://shop.rebag.com/products/handbags-hermes-azap-combined-wallet-alligator-gm4791341?variant=30930664030278""
            }}
</script>
",Hermes,"
            $3,315
        ",/collections/hermes/products/handbags-hermes-azap-combined-wallet-alligator-gm4791341,Excellent,". Light scuffs on exterior, small indentations in interior, scratches on hardware.",,,,No Accessories,,"Height 5&quot;, Width 8&quot;, Depth 1.5&quot;",47913/41,
"Kelly Handbag Chocolate Box Calf with Gold Hardware 32 Item Number: 46532/29"",
        ""image"": ""https://cdn.shopify.com/s/files/1/0384/0161/products/46532-29_20Hermes_20Kelly_20Handbag_20Brown_20Box_20Calf_20with_2D_0002_grande.jpg?v=1575952638"",
        
            ""offers"": {
                ""@type"" : ""Offer"",
                ""priceCurrency"": ""USD"",
                ""price"": ""4315"",
                ""itemCondition"" : ""http://schema.org/UsedCondition"",
                ""availability"" : ""http://schema.org/InStock"",
                ""url"" : ""https://shop.rebag.com/products/handbags-hermes-kelly-handbag-brown-box-calf-with-gold-hardware-324653229?variant=30326928277574""
            }}
</script>
",Hermes,"
            $4,315
        ",/collections/hermes/products/handbags-hermes-kelly-handbag-brown-box-calf-with-gold-hardware-324653229,Good,". Heavy scuffs on exterior. Small stain on front near base, bubbling on underneath flap, indentations and scuffs in interior, scratches on hardware.",,,,"Keys, Lock, Clochette, With Strap",,"Handle Drop 3.5&quot;, Height 9&quot;, Width 12.5&quot;, Depth 5&quot;, Strap Drop 17.5&quot;",46532/29,
"Kelly Handbag Blue Izmir Clemence with Gold Hardware 32 Item Number: 48137/72"",
        ""image"": ""https://cdn.shopify.com/s/files/1/0384/0161/products/48137-72_20Hermes_20Kelly_20Handbag_20Blue_20Clemence_20with_20G_2D_0002_grande.jpg?v=1575952850"",
        
            ""offers"": {
                ""@type"" : ""Offer"",
                ""priceCurrency"": ""USD"",
                ""price"": ""8355"",
                ""itemCondition"" : ""http://schema.org/UsedCondition"",
                ""availability"" : ""http://schema.org/InStock"",
                ""url"" : ""https://shop.rebag.com/products/handbags-hermes-kelly-handbag-blue-clemence-with-gold-hardware-324813772?variant=31035647361094""
            }}
</script>
",Hermes,"
            $8,355
        ",/collections/hermes/products/handbags-hermes-kelly-handbag-blue-clemence-with-gold-hardware-324813772,Very good,". Minor wear and darkening on base corners and handle, slight creasing near base and underneath flap, splitting on flap and opening wax edges. Small indentations and scuffs in interior, scratches on hardware.",,,,"Keys, Lock, Clochette, With Strap",,"Handle Drop 4&quot;, Height 9&quot;, Width 12.5&quot;, Depth 5&quot;, Strap Drop 17&quot;",48137/72,
"Birkin Handbag Bleu Thalassa Clemence with Palladium Hardware 35 Item Number: 46953/28"",
        ""image"": ""https://cdn.shopify.com/s/files/1/0384/0161/products/46953-28_20Hermes_20Birkin_20Handbag_20Blue_20Clemence_20with_2D_0002_grande.jpg?v=1575952790"",
        
            ""offers"": {
                ""@type"" : ""Offer"",
                ""priceCurrency"": ""USD"",
                ""price"": ""6380"",
                ""itemCondition"" : ""http://schema.org/UsedCondition"",
                ""availability"" : ""http://schema.org/InStock"",
                ""url"" : ""https://shop.rebag.com/products/handbags-hermes-birkin-handbag-blue-clemence-with-palladium-hardware-354695328?variant=30930700042310""
            }}
</script>
",Hermes,"
            $6,380
        ",/collections/hermes/products/handbags-hermes-birkin-handbag-blue-clemence-with-palladium-hardware-354695328,Good,". Moderate wear on base corners, scuffs on base, heavy splitting on closure strap and handle wax edges. Slight cracking on side opening wax edges, indentations on interior base, scratches on hardware.",,,,"Keys, Lock, Rain Coat, Clochette",,"Handle Drop 4&quot;, Height 11&quot;, Width 14&quot;, Depth 7&quot;",46953/28,
"Birkin Handbag Bleu Indigo Clemence with Gold Hardware 35 Item Number: 46953/25"",
        ""image"": ""https://cdn.shopify.com/s/files/1/0384/0161/products/46953-25_20Hermes_20Birkin_20Handbag_20Blue_20Clemence_20with_2D_0002_grande.jpg?v=1575952794"",
        
            ""offers"": {
                ""@type"" : ""Offer"",
                ""priceCurrency"": ""USD"",
                ""price"": ""6755"",
                ""itemCondition"" : ""http://schema.org/UsedCondition"",
                ""availability"" : ""http://schema.org/InStock"",
                ""url"" : ""https://shop.rebag.com/products/handbags-hermes-birkin-handbag-blue-clemence-with-gold-hardware-354695325?variant=30930712035398""
            }}
</script>
",Hermes,"
            $6,755
        ",/collections/hermes/products/handbags-hermes-birkin-handbag-blue-clemence-with-gold-hardware-354695325,Good,". Heavy loss of shape and scuffs on exterior, wear on base corners, splitting on flap corner wax edges. Indentations and scuffs in interior, scratches on hardware.",,,,"Keys, Lock, Clochette",,"Handle Drop 4&quot;, Height 10&quot;, Width 14&quot;, Depth 7.5&quot;",46953/25,
"Kelly Handbag Brown Box Calf with Gold Hardware 28 Item Number: 47661/86"",
        ""image"": ""https://cdn.shopify.com/s/files/1/0384/0161/products/47661-86_20Hermes_20Kelly_20Handbag_20Brown_20Box_20Calf_20with_2D_0002_grande.jpg?v=1575952794"",
        
            ""offers"": {
                ""@type"" : ""Offer"",
                ""priceCurrency"": ""USD"",
                ""price"": ""5185"",
                ""itemCondition"" : ""http://schema.org/UsedCondition"",
                ""availability"" : ""http://schema.org/InStock"",
                ""url"" : ""https://shop.rebag.com/products/handbags-hermes-kelly-handbag-brown-box-calf-with-gold-hardware-284766186?variant=30930709872710""
            }}
</script>
",Hermes,"
            $5,185
        ",/collections/hermes/products/handbags-hermes-kelly-handbag-brown-box-calf-with-gold-hardware-284766186,Very good,". Wear on base corners, creasing and scuffs on exterior. Bubbling underneath flap, scuffs in interior, scratches on hardware.",,,,"Keys, Lock, Clochette, With Strap",,"Handle Drop 4&quot;, Height 8&quot;, Width 11&quot;, Depth 4.5&quot;, Strap Drop 16&quot;",47661/86,
"Marwari Handbag Toile PM Item Number: 47913/45"",
        ""image"": ""https://cdn.shopify.com/s/files/1/0384/0161/products/47913-45_20Hermes_20Marwari_20Handbag_20Toile_20PM_2D_0002_grande.jpg?v=1575952859"",
        
            ""offers"": {
                ""@type"" : ""Offer"",
                ""priceCurrency"": ""USD"",
                ""price"": ""430"",
                ""itemCondition"" : ""http://schema.org/UsedCondition"",
                ""availability"" : ""http://schema.org/InStock"",
                ""url"" : ""https://shop.rebag.com/products/handbags-hermes-marwari-handbag-toile-pm4791345?variant=31035674165318""
            }}
</script>
",Hermes,"
            $430
        ",/collections/hermes/products/handbags-hermes-marwari-handbag-toile-pm4791345,Great,". Minor wear and discoloration on exterior edges, light scuffs and darkening on strap and closure belt, scratches on hardware.",,,,No Accessories,,"Handle Drop 8.5-10.5&quot;, Height 12&quot;, Width 10.5&quot;, Depth 4&quot;",47913/45,
"Kelly Amazone Handbag Indigo Clemence with Palladium Hardware 32 Item Number: 47875/2"",
        ""image"": ""https://cdn.shopify.com/s/files/1/0384/0161/products/47875-2_20Hermes_20Kelly_20Amazone_20Handbag_20Blue_20Clemence_2D_0002_grande.jpg?v=1575952881"",
        
            ""offers"": {
                ""@type"" : ""Offer"",
                ""priceCurrency"": ""USD"",
                ""price"": ""7245"",
                ""itemCondition"" : ""http://schema.org/UsedCondition"",
                ""availability"" : ""http://schema.org/InStock"",
                ""url"" : ""https://shop.rebag.com/products/handbags-hermes-kelly-amazone-handbag-blue-clemence-with-palladium-hardware-32478752?variant=31035760541766""
            }}
</script>
",Hermes,"
            $7,245
        ",/collections/hermes/products/handbags-hermes-kelly-amazone-handbag-blue-clemence-with-palladium-hardware-32478752,Great,". Creasing on exterior, wear on base corners, light pilling on strap. Splitting on flap wax edges, scuffs on interior base, scratches on hardware.",,,,With Strap,,"Handle Drop 4&quot;, Height 9&quot;, Width 12&quot;, Depth 5&quot;, Strap Drop 14.5&quot;",47875/2,
"Birkin Ghillies Handbag Argile and Etoupe Swift with Palladium Hardware 35 Item Number: 43784/2"",
        ""image"": ""https://cdn.shopify.com/s/files/1/0384/0161/products/43784-2_20Hermes_20Birkin_20Ghillies_20Handbag_20Light_20and_20B_2D_0002_grande.jpg?v=1575952895"",
        
            ""offers"": {
                ""@type"" : ""Offer"",
                ""priceCurrency"": ""USD"",
                ""price"": ""8760"",
                ""itemCondition"" : ""http://schema.org/UsedCondition"",
                ""availability"" : ""http://schema.org/InStock"",
                ""url"" : ""https://shop.rebag.com/products/handbags-hermes-birkin-ghillies-handbag-light-and-brown-swift-with-palladium-hardware-35437842?variant=31035796815942""
            }}
</script>
",Hermes,"
            $8,760
        ",/collections/hermes/products/handbags-hermes-birkin-ghillies-handbag-light-and-brown-swift-with-palladium-hardware-35437842,Very good,". Loss of shape on exterior, minor scuffs in interior, scratches on hardware.",,,,No Accessories,,"Handle Drop 5.5&quot;, Height 10&quot;, Width 14&quot;, Depth 7.5&quot;",43784/2,
"Birkin Handbag Tressage Bleu Encre Swift and Palladium Hardware 30 Item Number: 48269/1"",
        ""image"": ""https://cdn.shopify.com/s/files/1/0384/0161/products/48269-1_20Hermes_20Birkin_20Handbag_20Tressage_20Blue_20Swift_2D_0002_grande.jpg?v=1575952930"",
        
            ""offers"": {
                ""@type"" : ""Offer"",
                ""priceCurrency"": ""USD"",
                ""price"": ""14055"",
                ""itemCondition"" : ""http://schema.org/UsedCondition"",
                ""availability"" : ""http://schema.org/InStock"",
                ""url"" : ""https://shop.rebag.com/products/handbags-hermes-birkin-handbag-tressage-blue-swift-and-palladium-hardware-30482691?variant=31062415016006""
            }}
</script>
",Hermes,"
            $14,055
        ",/collections/hermes/products/handbags-hermes-birkin-handbag-tressage-blue-swift-and-palladium-hardware-30482691,Excellent,". Small indentations on base and in interior, scratches on hardware.",,,,"Keys, Lock, Box, Clochette",,"Handle Drop 4&quot;, Height 8.5&quot;, Width 12&quot;, Depth 6&quot;",48269/1,
"Airsilk Duffle Bag Printed Silk 38 Item Number: 48280/15"",
        ""image"": ""https://cdn.shopify.com/s/files/1/0384/0161/products/48280-15_20Hermes_20Airsilk_20Duffle_20Bag_20Printed_20Silk_2038_2D_0002_grande.jpg?v=1575952990"",
        
            ""offers"": {
                ""@type"" : ""Offer"",
                ""priceCurrency"": ""USD"",
                ""price"": ""690"",
                ""itemCondition"" : ""http://schema.org/UsedCondition"",
                ""availability"" : ""http://schema.org/InStock"",
                ""url"" : ""https://shop.rebag.com/products/handbags-hermes-airsilk-duffle-bag-printed-silk-384828015?variant=31074879995974""
            }}
</script>
",Hermes,"
            $690
        ",/collections/hermes/products/handbags-hermes-airsilk-duffle-bag-printed-silk-384828015,Excellent,". Minor wear on exterior and in interior, scratches on hardware.",,,,No Accessories,,"Handle Drop 13&quot;, Height 8.5&quot;, Width 17&quot;, Depth 8.5&quot;",48280/15,
"Birkin Handbag Vert Anis Swift with Palladium Hardware 35 Item Number: 48572/14"",
        ""image"": ""https://cdn.shopify.com/s/files/1/0384/0161/products/48572-14_20Hermes_20Birkin_20Handbag_20Green_20Swift_20with_20Pa_2D_0002_grande.jpg?v=1575952988"",
        
            ""offers"": {
                ""@type"" : ""Offer"",
                ""priceCurrency"": ""USD"",
                ""price"": ""5695"",
                ""itemCondition"" : ""http://schema.org/UsedCondition"",
                ""availability"" : ""http://schema.org/InStock"",
                ""url"" : ""https://shop.rebag.com/products/handbags-hermes-birkin-handbag-green-swift-with-palladium-hardware-354857214?variant=31074874425414""
            }}
</script>
",Hermes,"
            $5,695
        ",/collections/hermes/products/handbags-hermes-birkin-handbag-green-swift-with-palladium-hardware-354857214,Good,". Moderate loss of shape on exterior. Wear on base corners, scuffs on flap, cracking on handle wax edges, scratches on hardware.",,,,"Keys, Lock, Clochette",,"Handle Drop 4.5&quot;, Height 10&quot;, Width 13.5&quot;, Depth 7.5&quot;",48572/14,
"Toolbox Handbag Swift 26 Item Number: 48280/24"",
        ""image"": ""https://cdn.shopify.com/s/files/1/0384/0161/products/48280-24_20Hermes_20Toolbox_20Handbag_20Swift_2026_2D_0002_grande.jpg?v=1575952989"",
        
            ""offers"": {
                ""@type"" : ""Offer"",
                ""priceCurrency"": ""USD"",
                ""price"": ""3545"",
                ""itemCondition"" : ""http://schema.org/UsedCondition"",
                ""availability"" : ""http://schema.org/InStock"",
                ""url"" : ""https://shop.rebag.com/products/handbags-hermes-toolbox-handbag-swift-264828024?variant=31074876620870""
            }}
</script>
",Hermes,"
            $3,545
        ",/collections/hermes/products/handbags-hermes-toolbox-handbag-swift-264828024,Very good,". Moderate loss of shape on exterior, wear on strap, scuffs on interior base, scratches on hardware.",,,,"Keys, Lock, Clochette, With Strap",,"Handle Drop 3.5&quot;, Height 11&quot;, Width 10.5&quot;, Depth 7&quot;, Strap Drop 10&quot;",48280/24,
"Birkin Handbag Etrusque Clemence with Gold Hardware 35 Item Number: 48929/10"",
        ""image"": ""https://cdn.shopify.com/s/files/1/0384/0161/products/48929-10_20Hermes_20Birkin_20Handbag_20Brown_20Clemence_20with_2D_0002_grande.jpg?v=1575953072"",
        
            ""offers"": {
                ""@type"" : ""Offer"",
                ""priceCurrency"": ""USD"",
                ""price"": ""5955"",
                ""itemCondition"" : ""http://schema.org/UsedCondition"",
                ""availability"" : ""http://schema.org/InStock"",
                ""url"" : ""https://shop.rebag.com/products/handbags-hermes-birkin-handbag-brown-clemence-with-gold-hardware-354892910?variant=31101431906374""
            }}
</script>
",Hermes,"
            $5,955
        ",/collections/hermes/products/handbags-hermes-birkin-handbag-brown-clemence-with-gold-hardware-354892910,Fair,". Moderate loss of shape on exterior and front handle, wear on base corners, cracking on handle wax edges, scratches on hardware.",,,,"Keys, Lock, Clochette",,"Handle Drop 4.5&quot;, Height 11&quot;, Width 14&quot;, Depth 7&quot;",48929/10,
"Sac a Depeches Bag Clemence 27 Item Number: 49004/86"",
        ""image"": ""https://cdn.shopify.com/s/files/1/0384/0161/products/49004-86_20Hermes_20Sac_20a_20Depeches_20Bag_20Clemence_2027_2D_0002_grande.jpg?v=1575953071"",
        
            ""offers"": {
                ""@type"" : ""Offer"",
                ""priceCurrency"": ""USD"",
                ""price"": ""1650"",
                ""itemCondition"" : ""http://schema.org/UsedCondition"",
                ""availability"" : ""http://schema.org/InStock"",
                ""url"" : ""https://shop.rebag.com/products/handbags-hermes-sac-a-depeches-bag-clemence-274900486?variant=31101428891718""
            }}
</script>
",Hermes,"
            $1,650
        ",/collections/hermes/products/handbags-hermes-sac-a-depeches-bag-clemence-274900486,Very good,". Creasing on exterior, minor wear on base corners and in interior, small indentation on front. Cracking on flap wax edges, moderate splitting on side opening wax edges, scratches on hardware.",,,,"Keys, Clochette",,"Handle Drop 2&quot;, Height 8&quot;, Width 10.5&quot;, Depth 2.5&quot;",49004/86,
