prname,page2,price,authnumber,sizeInch,color_material,accessories,outside_condition,inside_condition,other,smell,product_nr
CHANEL CC Logos Hand Bag Pink Crocodile,/collections/chanel/products/ao25034,598000,9436807,"W 11.2 x H 7.5 x D 4.3 ""

Handle Drop. 6.3 ""","Pink
/
Crocodile Leather","Authenticity Seal, Dust Bag, Removable Pouch","Good condition

Scuff",Good condition,Pocket corner has scuff,-,AO25034
CHANEL Quilted CC Single Chain Shoulder Bag Beige,/collections/chanel/products/ao24979,268000,485457,"W 6.7 x H 5.1 x D 1.6 ""

Strap Drop. 20.1 ""","Beige
/
Leather","Authenticity Seal, Authenticity Card, Dust Bag",Good condition,Good condition,-,-,AO24979
CHANEL Quilted CC Chain Mini Shoulder Necklace Pochette Pouch Red,/collections/chanel/products/ao24989,59800,,"W 3.1 x H 3.3 x D 0.4 ""

Strap Drop. 7.1 or 14.2 ""","Red
/
Cotton",Box,Good condition,"There is sign of use overall.

Sticky",-,-,AO24989
CHANEL Travel Line CC Chain Shoulder Bag Yellow,/collections/chanel/products/ao24980,248000,7143606,"W 9.8 x H 6.3 x D 2.4 ""

Strap Drop.(Single) 17.7 ""

Strap Drop.(Double) 9.4 ""","Yellow
/
Jacquard Nylon, Leather","Authenticity Seal, Authenticity Card, Dust Bag, Box",Good condition,Good condition,-,-,AO24980
CHANEL Quilted CC Chain Vanity Round Hand Bag Beige,/collections/chanel/products/ao24926,898000,3348282,"W 8.3 x H 8.3 x D 2.8 ""

Handle Drop. 2.8 ""","Beige, Black
/
Patent Leather","Authenticity Seal, Authenticity Card, Manual",Good condition,Good condition,,-,AO24926
CHANEL Wild Stitch Quilted CC Chain Shoulder Bag Charcoal Gray Wool,/collections/chanel/products/ao24947,228000,,"W 11.8 x H 7.5 x D 4.3 ""

Strap Drop. 10.2 ""","Charcoal Gray
/
Wool","Authenticity Seal, Shop Seal, Dust Bag","Good condition

Zipper top: rust",Excellent condition,,-,AO24947
CHANEL Medallion Quilted CC 2way Chain Waist Bum Bag Black Velvet,/collections/chanel/products/ao24950,598000,3485146,"W 7.5 x H 4.7 x D 1.2 ""

Belt total length. 25.2 - 28.0 "" # 28/70

Chain Belt total length. 32.3 ""","Black
/
Velvet, Leather","Authenticity Seal, Authenticity Card, Shop Seal, Spare Belt, Dust Bag, Box","Good condition

Scratch",Good condition,,-,AO24950
CHANEL Quilted CC Chain Backpack Bag Dark Brown Velvet,/collections/chanel/products/ao24949,598000,3735136,"W 10.2 "" x H 6.3 "" x D 2.8 ""

Strap total length. 32.3 ""","Dark Brown
/
Velvet, Leather","Authenticity Seal, Authenticity Card",Good condition,"There is sign of use overall.

Velvet: scuff and minor peeled",,-,AO24949
CHANEL Quilted Rhinestone CC Chain Shoulder Bag Black Satin,/collections/chanel/products/ao24946,198000,456371,"W 8.3 x H 6.7 x D 2.2 ""

Shoulder Drop. 14.2 ""","Black
/
Satin","Authenticity Seal, Authenticity Card, Shop Seal","Good condition

Metal fittings: rust","Good condition

Metal fittings: rust",,-,AO24946
CHANEL Quilted CC Chain Mini Shoulder Bag Pochette Black,/collections/chanel/products/ao24945,328000,,"W 2.8 x H 2.6 x D 1.0 ""

Strap Drop. 18.9 ""","Black
/
Leather",Authenticity Seal,Good condition,"Good condition

minor loose shape.

Chain: minor rust",,-,AO24945
CHANEL Quilted CC Single Mini Chain Shoulder Bag Bi-Color,/collections/chanel/products/ao24944,248000,,"W 5.5 x H 3.9 x D 1.6 ""

Strap Drop. 21.3 ""","Black, Beige
/
Leather","Shop Seal, Dust Bag, Box",Good condition,Good condition,,-,AO24944
CHANEL Mademoiselle CC Double Shoulder Bag Bi-Color,/collections/chanel/products/ao24943,198000,2964100,"W 9.8 x H 6.7 x D 2.8 ""

Strap Drop. 12.6 - 24.8 ""","Beige, Black
/
Leather","Authenticity Seal, Shop Seal",Pocket side has crack,Good condition,,-,AO24943
CHANEL Quilted Fringe Single Chain Shoulder Bag Black Caviar,/collections/chanel/products/ao24942,328000,2560686,"W 10.6 x H 7.9 x D 2.8 ""

Shoulder Drop. 19.7 ""","Black
/
Caviar Skin Leather","Authenticity Seal, Authenticity Card, Dust Bag, Box",Good condition,Excellent condition,,-,AO24942
CHANEL CC Chain Shoulder Bag Pochette Case Bordeaux Caviar Skin,/collections/chanel/products/ao24941,168000,3696543,"W 2.8 x H 5.1 x D 1.2 ""

Shoulder Drop. 24.4 ""","Bordeaux
/
Caviar Skin Leather","Authenticity Seal(Scuff), Box",Good condition,Good condition,,-,AO24941
CHANEL Travel Line CC Chain Shoulder Bag Black Jacquard Nylon,/collections/chanel/products/ao24940,198000,7256827,"W 10.2 x H 5.1 x D 1.6 ""

Strap Drop. 11.4 ""","Black
/
Jacquard Nylon, Leather","Authenticity Seal, Shop Seal",Excellent condition,Excellent condition,,-,AO24940
CHANEL Paris Limited Classic Double Flap Small Chain Shoulder Bag Beige,/collections/chanel/products/ao24939,298000,3810311,"W 8.9 x H 5.9 x D 2.4 ""

Strap Drop.(Single) 16.9 ""

Strap Drop.(Double) 9.1 ""","Beige
/
Leather","Authenticity Seal, Authenticity Card, Manual",Good condition,Good condition,,-,AO24939
CHANEL Classic Double Flap Medium Chain Shoulder Bag Black,/collections/chanel/products/ao24937,348000,9009319,"W 9.8 x H 6.3 x D 2.4 ""

Strap Drop.(Single) 16.1 ""

Strap Drop.(Double) 9.1 ""","Black
/
Cotton, Leather",Authenticity Seal,Good condition,Excellent condition,,-,AO24937
CHANEL Classic Double Flap Medium Chain Shoulder Bag Black,/collections/chanel/products/ao24936,298000,1261228,"W 9.8 x H 6.3 x D 2.4 ""

Strap Drop.(Single) 16.1 ""

Strap Drop.(Double) 9.1 ""","Black
/
Cotton","Authenticity Seal, Authenticity Card",Good condition,Excellent condition,,-,AO24936
CHANEL Classic Double Flap Small Chain Shoulder Bag Ivory,/collections/chanel/products/ao24935,328000,2690594,"W 9.1 x H 5.5 x D 2.8 ""

Strap Drop.(Single) 16.5 ""

Strap Drop.(Double) 8.7 ""","Ivory
/
Canvas","Authenticity Seal, Authenticity Card, Dust Bag",Good condition,Good condition,,-,AO24935
CHANEL Quilted 2.55 Line Stripe CC Shoulder Bag Black,/collections/chanel/products/ao24934,228000,12042737,"W 10.2 x H 4.3 x D 1.6 ""

Strap Drop. 15.0 ""","Black
/
Leather","Authenticity Seal, Authenticity Card, Dust Bag, Box",Good condition,Good condition,,-,AO24934
CHANEL Quilted CC Double Chain Shoulder Tote Bag Black Satin,/collections/chanel/products/ao24933,228000,5953586,"W 10.6 x H 10.4 x D 3.1 ""

Strap Drop.(Single) 20.5 ""/ (Double) 10.6 ""","Black
/
Satin","Authenticity Seal, Authenticity Card, Dust Bag",Good condition,Good condition,,-,AO24933
CHANEL Quilted CC Double Chain Shoulder Bag Black,/collections/chanel/products/ao24932,298000,1379327,"W 10.6 x H 6.7 x D 2.8 ""

Strap Drop.(Single) 15.4 ""

Strap Drop.(Double) 8.7 ""","Black
/
Leather","Authenticity Seal, Authenticity Card, Pouch",Pocket has mold stain,"There is sign of use overall.

mold stain",,-,AO24932
CHANEL CC Chain Shoulder Bag Beige White Black Tweed,/collections/chanel/products/ao24931,248000,7748383,"W 10.2 x H 5.1 x D 1.6 ""

Strap Drop. 11.4 ""","Beige, White, Black
/
Tweed, Leather","Authenticity Seal, Shop Seal",Good condition,Good condition,,-,AO24931
CHANEL Wild Stitch Choco Bar CC Chain Shoulder Tote Bag Navy,/collections/chanel/products/ao24930,248000,7232169,"W 11.8 x H 9.1 x D 3.9 ""

Strap Drop. 10.6 ""","Navy
/
Leather","Authenticity Seal, Authenticity Card, Manual",Good condition,Good condition,,-,AO24930
CHANEL Quilted Cambon Line CC Hand Tote Bag White,/collections/chanel/products/ao24929,168000,8947744,"W 5.9 x H 7.9 x D 3.9 ""

Handle Drop. 5.5 ""","White, Black
/
Leather","Authenticity Seal, Authenticity Card, Manual, Shop Seal, Pouch","Good condition

Zipper top: rust",Good condition,,-,AO24929
CHANEL Quilted Cambon Line CC Hand Tote Bag Black,/collections/chanel/products/ao24928,168000,9826669,"W 12.6 x H 13.4 x D 0.8 ""

Handle Drop. 5.1 ""","Black, White
/
Leather","Authenticity Seal, Shop Seal, Dust Bag","Good condition

dirt

Metal fittings: peeled and minor deformation","Good condition

Metal fittings: rust",,-,AO24928
CHANEL Quilted Cambon Line CC Hand Tote Bag Black,/collections/chanel/products/ao24927,198000,9553768,"W 5.9 x H 7.9 x D 3.9 ""

Handle Drop. 6.7 ""","Black, White
/
Leather",Authenticity Seal,Good condition,Good condition,,-,AO24927
CHANEL CC 2way Cosmetic Vanity Hand Bag Black Caviar Skin,/collections/chanel/products/ao24925,328000,4272757,"W 7.5 x H 5.9 x D 3.9 ""

Handle Drop. 1.6 ""

Strap Drop. 20.9 ""","Black
/
Caviar Skin Leather","Authenticity Seal, Authenticity Card, Shoulder Strap, Roll Pouch","Good condition

minor scuff","Good condition

Wrinkle",,-,AO24925
CHANEL CC Both Side Turn lock Hand Bag Black Velvet Satin,/collections/chanel/products/ao24923,268000,5145552,"W 7.9 x H 6.7 x D 3.5 ""

Shoulder Drop. 6.3 ""","Black
/
Velvet, Satin","Authenticity Seal, Authenticity Card, Shop Seal, Dust Bag",Excellent condition,Excellent condition,,-,AO24923
CHANEL Quilted 2.55 Line CC Hand Bag Black Cotton,/collections/chanel/products/ao24922,168000,3582891,"W 9.1 x H 5.9 x D 2.8 ""

Handle Drop. 4.7 ""","Black
/
Cotton, Leather",Authenticity Seal,Good condition,Good condition,,-,AO24922
CHANEL Full Flap Quilted CC Chain Shoulder Bag Beige,/collections/chanel/products/ao24891,298000,1692050,"W 9.3 x H 5.7 x D 2.4 ""

Strap Drop. 20.5 ""","Beige
/
Leather","Authenticity Seal, Authenticity Card, Manual, Shop Seal, Dust Bag, Box",Good condition,Good condition,,-,AO24891
CHANEL Quilted CC Single Chain Shoulder Bag Beige,/collections/chanel/products/ao24893,328000,1579933,"W 6.7 "" x H 5.3 "" x D 2.4 ""

Strap Drop. 20.9 ""","Beige
/
Leather","Authenticity Seal, Authenticity Card, Dust Bag, Box",Good condition,Good condition,,-,AO24893
CHANEL Full Flap Quilted CC Single Chain Shoulder Bag Red,/collections/chanel/products/ao24892,228000,1287439,"W 7.5 x H 4.3 x D 2.4 ""

Strap Drop. 20.5 ""","Red
/
Leather","Authenticity Seal, Shop Seal, Dust Bag, Box","There is sign of use overall.

scratches","There is sign of use overall.

scratches and dirt",,-,AO24892
CHANEL Quilted CC Double Chain Shoulder Bag Black Caviar,/collections/chanel/products/ao24889,348000,6096095,"W 9.4 x H 7.5 x D 3.5 ""

Strap Drop.(Single) 16.5 ""

Strap Drop.(Double) 9.1 ""","Black
/
Caviar Skin Leather","Authenticity Seal, Authenticity Card, Dust Bag",Good condition,"Good condition

scratches and wrinkle",,-,AO24889
CHANEL Quilted CC Chain Shoulder Tote Bag Black Caviar Skin,/collections/chanel/products/ao24887,248000,4394943,"W 11.0 x H 8.3 x D 3.1 ""

Strap Drop. 13.8 ""","Black
/
Caviar Skin Leather","Authenticity Seal, Dust Bag, Box",Good condition,Good condition,,-,AO24887
CHANEL Sport Line CC Pouch Bag Navy,/collections/chanel/products/ao24886,49800,,"W 4.7 x H 4.7 x D 1.8 ""","Navy, White
/
Canvas",-,Good condition,Good condition,,-,AO24886
CHANEL CC Cosmetic Vanity Hand Bag Pouch Red Caviar Skin,/collections/chanel/products/ao24775,89800,5069789,"W 7.9 "" x H 5.5 "" x D 3.1 ""","Red
/
Caviar Skin Leather",Authenticity Seal,Good condition,Good condition,,-,AO24775
CHANEL Quilted CC Briefcase Business Hand Bag Black Caviar,/collections/chanel/products/ao24773,348000,3544430,"W 15.0 x H 11.0 x D 2.0 ""

Handle Drop. 2.0 ""","Black
/
Caviar Skin Leather","Authenticity Seal, Authenticity Card, Manual, Dust Bag","Good condition

scratches and mold stain.

Turn lock bis: rust",Good condition,,mold,AO24773
CHANEL Quilted CC Chain Mini Shoulder Bag Pochette Black,/collections/chanel/products/ao24772,328000,,"W 2.8 x H 2.6 x D 1.0 ""

Strap Drop. 18.9 ""","Black
/
Leather","Authenticity Seal, Box",Good condition,Good condition,,-,AO24772
CHANEL Classic Double Flap Small Paris Limited Chain Shoulder Bag Black,/collections/chanel/products/ao24770,368000,2743805,"W 8.3 x H 5.9 x D 2.4 ""

Strap Drop.(Single) 19.3 ""

Strap Drop.(Double) 10.2 ""","Black
/
Leather",Authenticity Seal,"Good condition

Scratches and minor suntanned",Good condition,,-,AO24770
CHANEL Classic Flap Maxi Quilted Jumbo CC Double Chain Shoulder Bag Black,/collections/chanel/products/ao24768,398000,3297221,"W 13.2 x H 9.1 x D 3.9 ""

Strap Drop.(Single) 23.6 ""

Strap Drop.(Double) 12.6 ""","Black
/
Leather","Authenticity Seal, Authenticity Card, Manual, Dust Bag",Good condition,Good condition,,-,AO24768
CHANEL Classic Double Flap Medium Chain Shoulder Bag White,/collections/chanel/products/ao24766,348000,13275382,"W 9.8 x H 6.3 x D 2.8 ""

Strap Drop.(Single) 16.1 ""

Strap Drop.(Double) 9.1 ""","White
/
Leather","Authenticity Seal, Manual","Excellent condition

Side has frayed.",Excellent condition,,-,AO24766
CHANEL Classic Double Flap Medium Chain Shoulder Bag Black,/collections/chanel/products/ao24765,278000,2424568,"W 9.8 x H 6.3 x D 2.8 ""

Strap Drop.(Single) 16.1 ""

Strap Drop.(Double) 9.1 ""","Black
/
Leather","Authenticity Seal, Authenticity Card","There is sign of use overall.

Mold

Flap has scratches.

Pocket has mold",Good condition,,Smell of mold.,AO24765
CHANEL Classic Double Flap Small Chain Shoulder Bag Black,/collections/chanel/products/ao24764,348000,7104021,"W 9.1 x H 5.7 x D 2.4 ""

Strap Drop.(Single) 16.5 ""

Strap Drop.(Double) 9.4 ""","Black
/
Leather","Authenticity Seal, Authenticity Card, Dust Bag","Excellent condition

Flap has scratches","Good condition

Scratches",,-,AO24764
CHANEL Quilted CC Double Chain Shoulder Bag Black,/collections/chanel/products/ao24763,228000,262081," W 8.7 x H 5.9 x D 2.6 ""  Strap Drop.(Single) 15.4 "" /(Double) 8.5 """, Black / Leather, Authenticity Seal & Dust Bag, Good condition, Good condition  Scratches,, -, AO24763
CHANEL Classic Flap Jumbo Quilted CC Jumbo Double Chain Shoulder Bag Black,/collections/chanel/products/ao24762,348000,6745578,"W 11.8 x H 8.7 x D 3.1 ""

Strap Drop.(Single) 24.4 ""

Strap Drop.(Double) 13.4 ""","Black
/
Leather",Authenticity Seal,Good condition,Good condition,,-,AO24762
CHANEL Quilted CC Cross Body Shoulder Bag Black,/collections/chanel/products/ao24759,198000,2026953,"W 9.8 x H 7.5 x D 3.1 ""

Strap Drop. 18.9 ""","Black
/
Leather","Authenticity Seal, Authenticity Card, Dust Bag, Box",Good condition,Good condition,,-,AO24759
CHANEL Quilted CC Cross Body Shoulder Bag Black,/collections/chanel/products/ao24758,248000,2556019,"W 6.7 x H 4.7 x D 2.4 ""

Strap Drop. 19.7 ""","Black
/
Leather","Authenticity Seal, Authenticity Card",Good condition,Good condition,,-,AO24758
CHANEL Choco Bar Quilted CC Shoulder Bag Black,/collections/chanel/products/ao24755,168000,7901383,"W 10.6 x H 6.3 x D 3.1 ""

Strap Drop. 5.1 - 11.0 ""","Black
/
Leather","Authenticity Seal, Authenticity Card, Manual, Box, Dust Bag",Good condition,"There is sign of use overall.

Wrinkle, Scratches.",,-,AO24755
CHANEL Quilted CC Chain Hand Bag Beige,/collections/chanel/products/ao24754,148000,1358122,"W 8.3 x H 5.5 x D 2.2 ""

Handle Drop. 6.7 ""","Beige
/
Leather","Authenticity Seal, Authenticity Card, Dust Bag","Good condition

minor pen mark",Good condition,,-,AO24754
CHANEL Quilted CC Chain Shoulder Bag Black,/collections/chanel/products/ao24752,248000,4491197,"W 13.0 x H 11.0 x D 5.1 ""

Strap Drop. 13.0 ""","Black
/
Leather","Authenticity Seal, Shop Seal",Good condition,"There is sign of use overall.

Wrinkle, Loose.",,-,AO24752
CHANEL Quilted CC Logos Hand Bag Light Green Tweed,/collections/chanel/products/ao24751,698000,2994742,"W 10.2 ""x H 6.3"" x D 2.8 ""

Handle Drop. 3.1 ""","Light Green, etc
/
Tweed","Authenticity Seal, Manual, Dust Bag",Good condition,Excellent condition,,-,AO24751
CHANEL Quilted CC Mini Boston Hand Bag Black Caviar Skin,/collections/chanel/products/ao24649,198000,9975240,"W 10.6 x H 6.3 x D 3.5 ""

Handle Drop. 3.9 ""","Black
/
Caviar Skin Leather","Authenticity Seal, Authenticity Card, Manual, Shop Seal, Dust Bag",Good condition,"Good condition

Handle: Loose shape",,-,AO24649
CHANEL CC Chain Backpack Bag Black Caviar Skin,/collections/chanel/products/ao24648,458000,3514420,"W 9.4 x H 11.0 x D 3.9 ""

Strap total length. 30.3 ""","Black
/
Caviar Skin Leather","Authenticity Seal, Authenticity Card, Manual, Dust Bag",Good condition,"Good condition

minor mold stain",,-,AO24648
CHANEL Quilted CC Chain Shoulder Tote Bag Black Caviar Skin,/collections/chanel/products/ao24647,268000,5001603,"W 9.8 x H 8.3 x D 3.5 ""

Strap Drop. 11.0 ""","Black
/
Caviar Skin Leather","Authenticity Seal, Shop Seal","There is sign of use overall.

scuff and dirt",Excellent condition,,-,AO24647
CHANEL CC Chain Shoulder Tote Bag Dark Brown Caviar Skin,/collections/chanel/products/ao24646,228000,3647829,"W 13.0 x H 11.0 x D 4.7 ""

Strap Drop. 14.2 ""","Dark Brown
/
Caviar Skin Leather","Authenticity Seal, Authenticity Card, Manual",Good condition,"Good condition

Corner: scuff",,-,AO24646
CHANEL CC Shoulder Tote Bag Black Caviar Skin,/collections/chanel/products/ao24645,248000,5253332,"W 11.0 x H 9.8 x D 3.9 ""

Strap Drop. 10.6 ""","Black
/
Caviar Skin Leather","Authenticity Seal, Authenticity Card, Manual, Dust Bag",Good condition,Good condition,,-,AO24645
